Date,Open,High,Low,Close,Adj Close,Volume
2015-05-28,211.538467,212.538467,210.000000,212.538467,186.825027,3434379
2015-05-29,211.538467,211.538467,209.769226,209.769226,184.390778,5415930
2015-06-01,209.692307,210.307693,208.230774,209.846161,184.458405,4331912
2015-06-02,209.384613,210.923080,208.846161,210.230774,184.796478,3422289
2015-06-03,211.000000,212.000000,210.461533,211.769226,186.148804,3419819
2015-06-04,210.923080,212.461533,209.307693,209.692307,184.323135,4336865
2015-06-05,209.692307,210.615387,208.923080,209.923080,184.526047,3984201
2015-06-08,210.153839,210.461533,209.307693,209.538467,184.187927,3875664
2015-06-09,209.846161,211.307693,209.000000,210.230774,184.796478,4044807
2015-06-10,210.461533,212.923080,210.153839,212.538467,186.825027,4312841
2015-06-11,212.076920,212.615387,210.461533,211.615387,186.013580,4080492
2015-06-12,211.076920,211.384613,209.846161,210.692307,185.202164,2882178
2015-06-15,210.692307,210.692307,208.538467,209.307693,183.985077,3704831
2015-06-16,209.000000,209.538467,207.692307,209.384613,184.052689,3584035
2015-06-17,209.153839,210.769226,208.538467,209.769226,184.390778,4751279
2015-06-18,208.307693,210.846161,207.923080,210.538467,186.641083,4898491
2015-06-19,209.769226,210.615387,209.076920,209.538467,185.754639,7834788
2015-06-22,210.000000,211.538467,209.923080,210.923080,186.982040,3575611
2015-06-23,210.923080,212.307693,210.692307,211.923080,187.868546,4226417
2015-06-24,211.923080,212.230774,209.615387,209.692307,185.890961,4219371
2015-06-25,209.846161,210.384613,207.846161,208.000000,184.390747,3034473
2015-06-26,208.000000,208.692307,207.000000,208.384613,184.731750,3351062
2015-06-29,206.923080,207.461533,204.076920,204.923080,181.663101,4338399
2015-06-30,206.307693,207.384613,204.076920,204.384613,181.185745,4622514
2015-07-01,205.153839,206.692307,203.615387,205.076920,181.799500,3955562
2015-07-02,205.384613,206.384613,204.615387,206.000000,182.617752,3380299
2015-07-06,204.076920,204.923080,201.538467,202.384613,179.412750,3621553
2015-07-07,202.923080,204.230774,199.461533,203.615387,180.503830,4244123
2015-07-08,200.692307,201.846161,199.076920,199.153839,176.548691,4163991
2015-07-09,201.307693,203.076920,200.076920,200.153839,177.435211,3953482
2015-07-10,203.000000,203.384613,200.307693,202.076920,179.139984,3296774
2015-07-13,203.769226,204.076920,201.846161,203.615387,180.503830,3162198
2015-07-14,202.692307,205.615387,202.692307,205.076920,181.799500,2898298
2015-07-15,204.692307,206.076920,204.615387,205.923080,182.549591,3630263
2015-07-16,207.538467,208.000000,206.461533,208.000000,184.390747,3982602
2015-07-17,209.692307,210.230774,207.923080,209.538467,185.754639,5354830
2015-07-20,208.615387,209.307693,207.769226,208.769226,185.072708,3209258
